1.2022644346e-002 -0.053487% 1.9866292017e-007 3.9711343473e-007 -2.1240561247e-010 7.3199493298e-002 -0.114590% 3.6688111705e-007 7.3292237513e-007 -8.3985897900e-010 9.4186905719e-001 7.8325776682e-001 7.8325776665e-001 5.4167152870e-001 5.4167152862e-001 5.4167152838e-001 2 1 4
1.3182567386e-002 -0.058619% 2.1773186597e-007 4.3520861841e-007 -2.5511353771e-010 8.0261648348e-002 -0.125416% 4.0146452093e-007 8.0192329973e-007 -1.0057421310e-009 9.4186905711e-001 7.8325776677e-001 7.8325776658e-001 5.4167152877e-001 5.4167152868e-001 5.4167152841e-001 1 1 4
1.4454397707e-002 -0.064239% 2.3862084944e-007 4.7693531983e-007 -3.0637904188e-010 8.8005147373e-002 -0.137241% 4.3922282752e-007 8.7724172089e-007 -1.2039341619e-009 9.4186905701e-001 7.8325776672e-001 7.8325776651e-001 5.4167152885e-001 5.4167152875e-001 5.4167152845e-001 4 1 4
1.5848931925e-002 -0.070395% 2.6150150350e-007 5.2263510062e-007 -3.6790638611e-010 9.6495725210e-002 -0.150152% 4.8043051317e-007 9.5942044112e-007 -1.4405852168e-009 9.4186905692e-001 7.8325776666e-001 7.8325776643e-001 5.4167152893e-001 5.4167152882e-001 5.4167152850e-001 2 1 4
1.7378008287e-002 -0.077135% 2.8656121477e-007 5.7268069089e-007 -4.4173865408e-010 1.0580545868e-001 -0.164242% 5.2538236347e-007 1.0490417573e-006 -1.7229696010e-009 9.4186905681e-001 7.8325776660e-001 7.8325776635e-001 5.4167152902e-001 5.4167152890e-001 5.4167152854e-001 1 1 4
1.9054607180e-002 -0.084516% 3.1400451045e-007 6.2747870208e-007 -5.3031881588e-010 1.1601337842e-001 -0.179614% 5.7439427943e-007 1.1467288740e-006 -2.0596848459e-009 9.4186905669e-001 7.8325776653e-001 7.8325776626e-001 5.4167152911e-001 5.4167152898e-001 5.4167152859e-001 2 1 4
2.0892961309e-002 -0.092596% 3.4405448531e-007 6.8747240017e-007 -6.3657045052e-010 1.2720613985e-001 -0.196375% 6.2780393396e-007 1.2531470017e-006 -2.4608661865e-009 9.4186905656e-001 7.8325776645e-001 7.8325776616e-001 5.4167152922e-001 5.4167152908e-001 5.4167152865e-001 2 1 4
2.2908676528e-002 -0.101440% 3.7695440306e-007 7.5314481474e-007 -7.6399138777e-010 1.3947875869e-001 -0.214641% 6.8597126498e-007 1.3690040914e-006 -2.9384385588e-009 9.4186905641e-001 7.8325776637e-001 7.8325776604e-001 5.4167152934e-001 5.4167152918e-001 5.4167152871e-001 1 1 4
2.5118864315e-002 -0.111119% 4.1296933129e-007 8.2502190282e-007 -9.1675976757e-010 1.5293541765e-001 -0.234535% 7.4927872510e-007 1.4950510366e-006 -3.5064135981e-009 9.4186905626e-001 7.8325776628e-001 7.8325776592e-001 5.4167152946e-001 5.4167152929e-001 5.4167152878e-001 2 1 4
2.7542287033e-002 -0.121710% 4.5238795491e-007 9.0367604180e-007 -1.0998680207e-009 1.6769035077e-001 -0.256188% 8.1813123745e-007 1.6320812767e-006 -4.1811982555e-009 9.4186905609e-001 7.8325776618e-001 7.8325776579e-001 5.4167152960e-001 5.4167152942e-001 5.4167152886e-001 1 1 4
3.0199517204e-002 -0.133297% 4.9552443232e-007 9.8972958929e-007 -1.3192753514e-009 1.8386881321e-001 -0.279740% 8.9295576736e-007 1.7809295683e-006 -4.9819663631e-009 9.4186905590e-001 7.8325776607e-001 7.8325776564e-001 5.4167152976e-001 5.4167152955e-001 5.4167152894e-001 2 1 4
3.3113112148e-002 -0.145968% 5.4272041290e-007 1.0838587389e-006 -1.5820869212e-009 2.0160814449e-001 -0.305336% 9.7420043683e-007 1.9424698148e-006 -5.9310588628e-009 9.4186905569e-001 7.8325776595e-001 7.8325776548e-001 5.4167152992e-001 5.4167152970e-001 5.4167152903e-001 2 1 4
3.6307805477e-002 -0.159823% 5.9434710227e-007 1.1867974308e-006 -1.8967737696e-009 2.2105893443e-001 -0.333131% 1.0623330827e-006 2.1176117493e-006 -7.0544160349e-009 9.4186905547e-001 7.8325776582e-001 7.8325776531e-001 5.4167153011e-001 5.4167152986e-001 5.4167152913e-001 2 1 4
3.9810717055e-002 -0.174967% 6.5080745306e-007 1.2993414848e-006 -2.2734213504e-009 2.4238630147e-001 -0.363284% 1.1578390864e-006 2.3072961330e-006 -8.3820397585e-009 9.4186905522e-001 7.8325776568e-001 7.8325776512e-001 5.4167153031e-001 5.4167153004e-001 5.4167152924e-001 1 1 4
4.3651583224e-002 -0.191516% 7.1253845078e-007 1.4223528753e-006 -2.7240262802e-009 2.6577129436e-001 -0.395963% 1.2612184980e-006 2.5124884721e-006 -9.9485238393e-009 9.4186905495e-001 7.8325776552e-001 7.8325776491e-001 5.4167153053e-001 5.4167153024e-001 5.4167152936e-001 2 1 4
4.7863009232e-002 -0.209591% 7.8001342011e-007 1.5567640014e-006 -3.2628388226e-009 2.9141242914e-001 -0.431339% 1.3729821145e-006 2.7341706860e-006 -1.1793542995e-008 9.4186905465e-001 7.8325776535e-001 7.8325776468e-001 5.4167153077e-001 5.4167153045e-001 5.4167152949e-001 2 1 4
5.2480746025e-002 -0.229327% 8.5374440079e-007 1.7035820289e-006 -3.9067726977e-009 3.1952737429e-001 -0.469587% 1.4936465557e-006 2.9733307348e-006 -1.3962376615e-008 9.4186905433e-001 7.8325776516e-001 7.8325776443e-001 5.4167153103e-001 5.4167153068e-001 5.4167152963e-001 1 1 4
5.7543993734e-002 -0.250866% 9.3428452363e-007 1.8638931785e-006 -4.6758687528e-009 3.5035479856e-001 -0.510885% 1.6237280943e-006 3.2309497592e-006 -1.6506429349e-008 9.4186905398e-001 7.8325776496e-001 7.8325776415e-001 5.4167153132e-001 5.4167153094e-001 5.4167152978e-001 2 1 4
6.3095734448e-002 -0.274360% 1.0222303971e-006 2.0388669672e-006 -5.5938269527e-009 3.8415639703e-001 -0.555408% 1.7637350979e-006 3.5079865511e-006 -1.9483644697e-008 9.4186905359e-001 7.8325776473e-001 7.8325776385e-001 5.4167153164e-001 5.4167153122e-001 5.4167152995e-001 2 1 4
6.9183097092e-002 -0.299972% 1.1182243274e-006 2.2297599968e-006 -6.6886580489e-009 4.2121911265e-001 -0.603332% 1.9141590797e-006 3.8053592149e-006 -2.2958944511e-008 9.4186905316e-001 7.8325776449e-001 7.8325776352e-001 5.4167153198e-001 5.4167153152e-001 5.4167153014e-001 1 1 4
7.5857757503e-002 -0.327876% 1.2229565046e-006 2.4379196602e-006 -7.9933489625e-009 4.6185757210e-001 -0.654822% 2.0754640443e-006 4.1239237086e-006 -2.7004379959e-008 9.4186905270e-001 7.8325776422e-001 7.8325776316e-001 5.4167153236e-001 5.4167153186e-001 5.4167153035e-001 2 1 4
8.3176377110e-002 -0.358255% 1.3371669092e-006 2.6647870945e-006 -9.5467238587e-009 5.0641675666e-001 -0.710037% 2.2480743399e-006 4.4644494185e-006 -3.1699261376e-008 9.4186905219e-001 7.8325776392e-001 7.8325776277e-001 5.4167153277e-001 5.4167153222e-001 5.4167153057e-001 2 1 4
9.1201083936e-002 -0.391301% 1.4616469006e-006 2.9118994977e-006 -1.1394303488e-008 5.5527493081e-001 -0.769118% 2.4323608419e-006 4.8275917976e-006 -3.7129886224e-008 9.4186905164e-001 7.8325776360e-001 7.8325776234e-001 5.4167153322e-001 5.4167153262e-001 5.4167153082e-001 1 1 4
1.0000000000e-001 -0.427218% 1.5972404142e-006 3.1808914872e-006 -1.3589341132e-008 6.0884685326e-001 -0.832186% 2.6286257322e-006 5.2138624115e-006 -4.3389052853e-008 9.4186905103e-001 7.8325776325e-001 7.8325776187e-001 5.4167153371e-001 5.4167153305e-001 5.4167153109e-001 2 1 4
1.0964781961e-001 -0.466215% 1.7448445689e-006 3.4734951852e-006 -1.6193952635e-008 6.6758729790e-001 -0.899337% 2.8370860548e-006 5.6235970367e-006 -5.0575072888e-008 9.4186905036e-001 7.8325776286e-001 7.8325776136e-001 5.4167153424e-001 5.4167153353e-001 5.4167153138e-001 2 1 4
